car_make_value,car_type_value,alimentation_value,carosserie_value,puissance_value,id,name,year,details
AUDI,A1 II,CARB,BER,5,AU52073,25 TFSI 1.0 95,A partir de 2022,A partir de 2022
AUDI,A1 II,CARB,BER,5,AU52010,25 TFSI 1.0 95,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52074,25 TFSI 1.0 95 ADVANCED,A partir de 2022,A partir de 2022
AUDI,A1 II,CARB,BER,5,AU52093,25 TFSI 1.0 95 ADVANCED,A partir de 2024,A partir de 2024
AUDI,A1 II,CARB,BER,5,AU52024,25 TFSI 1.0 95 ADVANCED,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52075,25 TFSI 1.0 95 ADVANCED S TRONIC,A partir de 2022,A partir de 2022
AUDI,A1 II,CARB,BER,5,AU52094,25 TFSI 1.0 95 ADVANCED S TRONIC,A partir de 2024,A partir de 2024
AUDI,A1 II,CARB,BER,5,AU52061,25 TFSI 1.0 95 ADVANCED 2,A partir de 2021,A partir de 2021
AUDI,A1 II,CARB,BER,5,AU52062,25 TFSI 1.0 95 ADVANCED 2 S TRONIC,A partir de 2021,A partir de 2021
AUDI,A1 II,CARB,BER,5,AU52029,25 TFSI 1.0 95 ADVANCED S TRONIC,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52082,25 TFSI 1.0 95 AVUS,A partir de 2023,A partir de 2023
AUDI,A1 II,CARB,BER,5,AU52096,25 TFSI 1.0 95 AVUS S TRONIC,A partir de 2024,A partir de 2024
AUDI,A1 II,CARB,BER,5,AU52092,25 TFSI 1.0 95 AVUS S TRONIC,A partir de 2023,A partir de 2023
AUDI,A1 II,CARB,BER,5,AU52012,25 TFSI 1.0 95 BUSINESS LINE,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52030,25 TFSI 1.0 95 BUSINESS LINE S TRONIC,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52011,25 TFSI 1.0 95 DESIGN,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52014,25 TFSI 1.0 95 DESIGN LUXE,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52077,25 TFSI 1.0 95 DESIGN LUXE S TRONIC,A partir de 2022,A partir de 2022
AUDI,A1 II,CARB,BER,5,AU52032,25 TFSI 1.0 95 DESIGN LUXE S TRONIC,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52028,25 TFSI 1.0 95 DESIGN S TRONIC,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52060,25 TFSI 1.0 95 ENTRY,A partir de 2021,A partir de 2021
AUDI,A1 II,CARB,BER,5,AU52013,25 TFSI 1.0 95 S LINE,A partir de 2019,A partir de 2019
AUDI,A1 II,CARB,BER,5,AU52076,25 TFSI 1.0 95 S LINE S TRONIC,A partir de 2022,A partir de 2022
